Name,Personal_CIK,Company_CIK,Bio,Link,StockTicker,shares,SharePrice
STOWELL SCOTT D,1202212,794170,"He is a member of the Dean’s Advisory Board at University of California, Irvine’s Merage Business School.",https://www.sec.gov/Archives/edgar/data/794170/000079417023000013/tol2022def14a.htm,TOL,23535.0,103.57
None_Name58,None_CIK58,1821825,,https://www.sec.gov/Archives/edgar/data/1821825/000119312523122171/d377667ddef14a1.pdf,non_ticker,0.0,non_stock_price
None_Name59,None_CIK59,1821825,"Dr. Milligan received a medical degree from George Washington University School of Medicine, a J.D. from the Georgetown University School of Law and bachelor of science degree in biology and a bachelor of arts degree in psychology from the University of California, Irvine.",https://www.sec.gov/Archives/edgar/data/1821825/000119312523122171/d377667ddef14a.htm,non_ticker,0.0,non_stock_price
LIN CHUANG I,1185981,1499422,"Mr. Lin holds a B.S. in Economics from University of California, Irvine.",https://www.sec.gov/Archives/edgar/data/1499422/000143774923014237/rbb20230320_def14a.htm,RBB,38126.0,18.89
Schneider David,1402350,1713683,"Mr. Schneider holds a B.A. in political science from the University of California, Irvine.",https://www.sec.gov/Archives/edgar/data/1713683/000162828023039884/zs-20231122.htm,ZS,22527.0,209.81
Malek Gilda,1970635,752714,"Ms. Malek received her J.D. from University of San Francisco, School of Law, and her B.A. in Political Science from University of California, Irvine.",https://www.sec.gov/Archives/edgar/data/752714/000095017023015752/mgrc-20230426.htm,MGRC,1429.0,120.72
Carnahan Scott W.,1469228,1464423,"Mr. Carnahan holds a B.A. and an M.B.A. from the University of California, Irvine and is a CPA.",https://www.sec.gov/Archives/edgar/data/1464423/000119312523110599/d438821ddef14a.htm,PMT,9377.61,13.69
None_Name60,None_CIK60,933974,"(2010-2022)​​Other​​•  Former Director, Decipher, Inc. (2018-2021)​​Qualifications and Expertise Provided to Our Board​​•  Life science industry veteran with deep experience in building and leadingnovel genomics-based businessesfrom conception through IPO, including public company CEO experience​​•  Extensive experience in commercial operations, sales and marketing, managedcare and technical support​​•  Significant M&A experience having overseen thesale of several companies while serving as a member of a board or executive, including Decipher Biosciences to Veracyte for $600 million, Genoptix to Novartis AG for $470 million andArena Pharmaceuticals to Pfizer for $6.7 billion​​Education​​•  BS in Biological Sciences, The University of California, Irvine​​•  PhD in Biochemistry, The University of California, Riverside​​•  Postdoctoral Research, New York University Medical Center, Departments ofDermatology and Opthalmology​AZENTA – 2023 Proxy Statement  21TABLE OF CONTENTSDIRECTOR NOMINEES​Michael Rosenblatt, MD​​​​Age: 76​​Independent Director since September 2018​​Committees​​Current:​​•  ESG​​•  Human Resources and Compensation​​Expected upon election at Annual Meeting:​​•  ESG (Chair)​​•  Human Resources and Compensation​​Experience​​•  Senior Partner, now Senior Advisor, of Flagship Pioneering, a Cambridge,Massachusetts-basedfirm that originates new biotech companies (2021 – Present)​​•  Former Chief Medical Officer of Flagship Pioneering (2016 – 2022)​​•  Contributed to Moderna’s coronavirus vaccine efforts as a member ofModerna’s Development Committee, VaccineAcceleration Committee, chairman of the Vaccine Ethics and Access Committee andas a special consultant to the CMO​​•  Former Executive Vice President and Chief Medical Officer of Merck &Co., Inc.",https://www.sec.gov/Archives/edgar/data/933974/000114036123057904/ny20014789x1_def14a.htm,non_ticker,0.0,non_stock_price
None_Name61,None_CIK61,1805521,"He received his Juris Doctor degree from Southwestern Law School in Los Angeles, California and his bachelor of arts in economics and political science from the University of California, Irvine.",https://www.sec.gov/Archives/edgar/data/1805521/000114036123012378/ny20008179x1_def14a.htm,non_ticker,0.0,non_stock_price
ROBERSON DAVID EARLE,1277307,1575793,"Mr. Roberson holds a B.A. in Social Ecology from the University of California, Irvine and a J.D. from Golden Gate University School of Law.",https://www.sec.gov/Archives/edgar/data/1575793/000110465924052949/tm2412475-1_def14a.htm,WATT,4236.0,1.69
